epoch,loss,res_kge,res_nnse,res_only,res_pearson_coeff,state_kge,state_nnse,state_only,state_pearson_coeff,val_loss,val_res_kge,val_res_nnse,val_res_only,val_res_pearson_coeff,val_state_kge,val_state_nnse,val_state_only,val_state_pearson_coeff
0,0.023058952763676643,-inf,0.00907333754003048,0.01850070245563984,0.15779536962509155,-1053048.875,0.001688328105956316,0.6347702145576477,0.08828572183847427,0.013256861828267574,-inf,0.009754559956490993,0.009924220852553844,0.3064505159854889,-159.70440673828125,0.0031523534562438726,0.19817058742046356,0.3025114834308624
1,0.014187173917889595,-inf,0.010159648954868317,0.010254651308059692,0.3767222464084625,-240.75155639648438,0.0024866717867553234,0.22456713020801544,0.29215484857559204,0.012843478471040726,-inf,0.010559272952377796,0.009658023715019226,0.39265570044517517,-282.98272705078125,0.0022351930383592844,0.24950239062309265,0.3055880069732666
2,0.01236723456531763,-inf,0.011952959932386875,0.008953056298196316,0.4593641459941864,-71.90791320800781,0.0029076035134494305,0.1910298615694046,0.42556124925613403,0.01018176507204771,-inf,0.015721525996923447,0.007720723748207092,0.49096953868865967,-160.0157012939453,0.003984356299042702,0.16601143777370453,0.44863975048065186
3,0.009482134133577347,-inf,0.02469407021999359,0.007273585069924593,0.5500891804695129,-70.33676147460938,0.004317621700465679,0.16600081324577332,0.5040530562400818,0.008439791388809681,-inf,0.029566241428256035,0.006834204774349928,0.5245262384414673,-175.29307556152344,0.005183645524084568,0.16139595210552216,0.3909454643726349
4,0.008100833743810654,-inf,0.03618798404932022,0.006421180441975594,0.5887147188186646,-79.3878402709961,0.005811027251183987,0.1403365582227707,0.6123887896537781,0.00759644852951169,-inf,0.034705620259046555,0.00616398174315691,0.5666433572769165,-44.12839889526367,0.006308155134320259,0.13281673192977905,0.6295415163040161
5,0.007517376448959112,-inf,0.04015447199344635,0.00602802773937583,0.5994150638580322,-119639.53125,0.006495947949588299,0.13014020025730133,0.6529512405395508,0.007267886772751808,-inf,0.03722675144672394,0.0059356531128287315,0.5776182413101196,-41.84101867675781,0.006851863581687212,0.12795186042785645,0.6352132558822632
6,0.00735168531537056,-inf,0.042778559029102325,0.005920563358813524,0.6096110939979553,-576817.9375,0.0072655403055250645,0.12426123768091202,0.6716446876525879,0.007053694222122431,-inf,0.03966677188873291,0.005766779650002718,0.5856178402900696,-56.045467376708984,0.007487141061574221,0.12327403575181961,0.618895411491394
7,0.007071496918797493,-inf,0.04384174570441246,0.005690726451575756,0.6156785488128662,-31.350141525268555,0.007691295351833105,0.11751247197389603,0.6939070820808411,0.007029679603874683,-inf,0.03855806216597557,0.005768537055701017,0.5774316191673279,-47.184608459472656,0.00681475643068552,0.12892292439937592,0.6720024347305298
8,0.00705263065174222,-inf,0.045477233827114105,0.005685857031494379,0.6167244911193848,-332.796875,0.007904530502855778,0.11730488389730453,0.70220947265625,0.006798041984438896,-inf,0.039576563984155655,0.005567128770053387,0.5842239856719971,-33.28970718383789,0.007758347783237696,0.115935318171978,0.6738423109054565
9,0.006999233737587929,-inf,0.04555528983473778,0.005623579956591129,0.6171082258224487,-41.09843444824219,0.007999042049050331,0.11589423567056656,0.7048013210296631,0.00685839680954814,-inf,0.039713189005851746,0.005626178812235594,0.5839021801948547,-34.170230865478516,0.00770569546148181,0.11731807142496109,0.6918612122535706
10,0.006960546597838402,-inf,0.04653230682015419,0.005623634438961744,0.6200121641159058,-28.51212501525879,0.008029453456401825,0.11530635505914688,0.7053701281547546,0.006990174762904644,-inf,0.03964001312851906,0.005733082536607981,0.5858573913574219,-34.83628463745117,0.007930112071335316,0.11831312626600266,0.6870499849319458
11,0.006951814983040094,-inf,0.04586755484342575,0.0056177712976932526,0.616844117641449,-32.791202545166016,0.008022349327802658,0.11658418923616409,0.705823540687561,0.006890759337693453,-inf,0.039799515157938004,0.005642902106046677,0.5859992504119873,-35.9625358581543,0.007983570918440819,0.11655455827713013,0.6873185038566589
12,0.0068312836810946465,-inf,0.04627576470375061,0.005541049875319004,0.6224349737167358,-135.0984649658203,0.008018331602215767,0.11295539140701294,0.7144612073898315,0.006807391066104174,-inf,0.04026243835687637,0.00558493984863162,0.5848127007484436,-30.956684112548828,0.008116290904581547,0.1153850331902504,0.6978484392166138
13,0.0070025124587118626,-inf,0.04590291529893875,0.005643168929964304,0.6204676032066345,-483717.3125,0.008211546577513218,0.1153111532330513,0.6993419528007507,0.006715510506182909,-inf,0.04087632894515991,0.005511100869625807,0.5888857841491699,-31.151397705078125,0.008228570222854614,0.11397752165794373,0.6999605298042297
14,0.007174794562160969,-inf,0.04738422855734825,0.005825910717248917,0.6135720014572144,-213.56149291992188,0.00732501270249486,0.13671673834323883,0.6042214632034302,0.006425660103559494,-inf,0.04524152725934982,0.005297625903040171,0.6001628637313843,-102.166748046875,0.009491177275776863,0.10717172920703888,0.6385801434516907
15,0.010657346807420254,-inf,0.036782532930374146,0.008837766014039516,0.5210511684417725,-341.7351379394531,0.0033413502387702465,0.27839580178260803,0.3710176646709442,0.008493861183524132,-inf,0.040949612855911255,0.007143017370253801,0.5618499517440796,-387.94134521484375,0.003999187145382166,0.2150006741285324,0.478557825088501
16,0.0075722550973296165,-inf,0.05229630693793297,0.006257341243326664,0.612159252166748,-357.9218444824219,0.006234284024685621,0.16458289325237274,0.5135959386825562,0.007401804905384779,-inf,0.0475396029651165,0.006251832470297813,0.5612694621086121,-249.35446166992188,0.0044122315011918545,0.19278918206691742,0.550710916519165
17,0.0059265620075166225,-inf,0.06247707083821297,0.004861890338361263,0.6672217845916748,-179.4762725830078,0.011464651674032211,0.10200256109237671,0.6672609448432922,0.005770471412688494,-inf,0.05603025481104851,0.004839675966650248,0.6346409916877747,-97.489013671875,0.00920752715319395,0.11568757891654968,0.655417263507843
18,0.005166261922568083,-inf,0.07217612862586975,0.004266712814569473,0.6974419951438904,-131.76235961914062,0.014790994115173817,0.08530877530574799,0.7261510491371155,0.004815010819584131,-inf,0.0661429762840271,0.0040576159954071045,0.6625730395317078,-86.35320281982422,0.014944028109312057,0.083671934902668,0.7073885798454285
19,0.004714915528893471,-inf,0.07896542549133301,0.0039166780188679695,0.7101715803146362,-67.16966247558594,0.017303308472037315,0.07500392198562622,0.7719473242759705,0.004619193263351917,-inf,0.06952778995037079,0.003894072026014328,0.6746695637702942,-142.30911254882812,0.016922257840633392,0.07527422904968262,0.7382948398590088
20,0.004359721671789885,-inf,0.08125866204500198,0.0036425453145056963,0.705139696598053,-45.17235565185547,0.017622360959649086,0.06923553347587585,0.7902472615242004,0.004494006745517254,-inf,0.07055003941059113,0.003772644093260169,0.6746686100959778,-48.380226135253906,0.01763516664505005,0.07091451436281204,0.7597490549087524
21,0.004427318926900625,-inf,0.08079273253679276,0.003672385588288307,0.7134390473365784,-28.21222496032715,0.01886417530477047,0.06739584356546402,0.8084866404533386,0.004342379979789257,-inf,0.06982103735208511,0.0036534699611365795,0.6750684380531311,-43.729488372802734,0.01690593920648098,0.06983359158039093,0.7923421263694763
22,0.004257221706211567,-inf,0.08342865854501724,0.003555529983714223,0.7178723216056824,-78.6205062866211,0.01957176811993122,0.0648423582315445,0.817980945110321,0.004315475467592478,-inf,0.0731155201792717,0.0036375117488205433,0.6789731979370117,-45.041786193847656,0.01755748875439167,0.06810548156499863,0.8011196255683899
23,0.004243234172463417,-inf,0.08656521886587143,0.0035414162557572126,0.722823977470398,-449461.4375,0.01990540511906147,0.06418047100305557,0.8230193853378296,0.004331226460635662,-inf,0.07045219093561172,0.0036565191112458706,0.6778715252876282,-44.058353424072266,0.01687300205230713,0.0687333419919014,0.8031744956970215
24,0.004199503920972347,-inf,0.08669441938400269,0.003517324570566416,0.7149723172187805,-105.8834457397461,0.019830837845802307,0.06422461569309235,0.816738486289978,0.004251524340361357,-inf,0.072415292263031,0.0035873684100806713,0.6788109540939331,-44.2502555847168,0.018479250371456146,0.06702055782079697,0.7874699234962463
25,0.004268730990588665,-inf,0.08580627292394638,0.003563265549018979,0.7169517874717712,-31.53225326538086,0.019842185080051422,0.0641212984919548,0.8224586248397827,0.004351852927356958,-inf,0.07172676175832748,0.0036633640993386507,0.6802566051483154,-44.827232360839844,0.01723705232143402,0.06829055398702621,0.7992932200431824
26,0.004200262017548084,-inf,0.08599802851676941,0.003518130164593458,0.7160811424255371,-483482.875,0.019733628258109093,0.06376903504133224,0.8250784277915955,0.004147541243582964,-inf,0.07370306551456451,0.0034955693408846855,0.6800537109375,-41.37688064575195,0.01832672767341137,0.06531494855880737,0.8012169599533081
27,0.004166174214333296,-inf,0.08502604812383652,0.00348312733694911,0.7153364419937134,-844398.6875,0.019446738064289093,0.06274580955505371,0.8239185214042664,0.004347021691501141,-inf,0.0706212967634201,0.0036572415847331285,0.6806479692459106,-45.04663848876953,0.01710798777639866,0.06812652200460434,0.8014588356018066
