epoch,loss,residual_loss,val_loss,val_residual_loss
0,0.7041344046592712,0.015894396230578423,0.34780070185661316,0.0053787739016115665
1,0.6709296703338623,0.017671113833785057,0.3313402533531189,0.018754249438643456
2,0.4912259876728058,0.03586295619606972,0.3126718997955322,0.023578021675348282
3,0.4128076434135437,0.039074838161468506,0.26917293667793274,0.024817422032356262
4,0.5293040871620178,0.05065479874610901,0.2526000142097473,0.021470116451382637
5,0.4711780846118927,0.04451387748122215,0.23038549721240997,0.020923936739563942
6,0.35380277037620544,0.03350469097495079,0.21123723685741425,0.016271179541945457
7,0.4223233759403229,0.029246792197227478,0.3032023012638092,0.013267084956169128
8,0.3227146863937378,0.02281024493277073,0.2885955572128296,0.013411115854978561
9,0.38136282563209534,0.027086909860372543,0.22353799641132355,0.01307432260364294
10,0.360573947429657,0.024409737437963486,0.2980056405067444,0.013413183391094208
11,0.3476496636867523,0.025968989357352257,0.24166327714920044,0.014265664853155613
12,0.3319615423679352,0.026642542332410812,0.23321840167045593,0.014383720234036446
13,0.38630399107933044,0.026165351271629333,0.2081829458475113,0.013302437961101532
14,0.4088836908340454,0.04599285498261452,0.3106665015220642,0.044634997844696045
15,0.357553631067276,0.04186931252479553,0.24323123693466187,0.0269091185182333
16,0.4635508060455322,0.036101240664720535,0.26169925928115845,0.012102976441383362
17,0.43032583594322205,0.031015614047646523,0.23870344460010529,0.019992085173726082
18,0.3450716435909271,0.027334174141287804,0.23285463452339172,0.012164133600890636
19,0.33392438292503357,0.025424551218748093,0.22834999859333038,0.013021540828049183
20,0.3779400587081909,0.023990029469132423,0.22193703055381775,0.010753949172794819
21,0.28136515617370605,0.0228895153850317,0.22222143411636353,0.011142783798277378
22,0.3867868185043335,0.022459981963038445,0.21503953635692596,0.012882977724075317
23,0.39538174867630005,0.02408689074218273,0.20566363632678986,0.01154371164739132
24,0.3386075496673584,0.0254142414778471,0.2138637900352478,0.013106875121593475
25,0.4486807584762573,0.026487717404961586,0.21464771032333374,0.014892606064677238
26,0.2956455945968628,0.027272850275039673,0.21217510104179382,0.014212544076144695
27,0.2538323700428009,0.02382883056998253,0.21169738471508026,0.013637136667966843
28,0.3648180365562439,0.027518821880221367,0.2627770006656647,0.014178566634654999
29,0.41862058639526367,0.0399191677570343,0.22062934935092926,0.0220173392444849
30,0.3861279785633087,0.04178588092327118,0.2656382918357849,0.04015092924237251
31,0.34588533639907837,0.03754884749650955,0.215956449508667,0.023303525522351265
32,0.2435246706008911,0.02771800383925438,0.1887272149324417,0.016632195562124252
33,0.3137841522693634,0.02295779436826706,0.1736382693052292,0.013114629313349724
34,0.27885881066322327,0.02479637786746025,0.16208761930465698,0.009164523333311081
35,0.2521319091320038,0.02044103294610977,0.16425806283950806,0.008635432459414005
36,0.24818894267082214,0.019190387800335884,0.1434793621301651,0.01056308951228857
37,0.2805825173854828,0.022229427471756935,0.14156894385814667,0.010792429558932781
38,0.3516189754009247,0.021275678649544716,0.16059893369674683,0.011380089446902275
39,0.23029686510562897,0.021716995164752007,0.1607464998960495,0.011324005201458931
40,0.28095385432243347,0.021187374368309975,0.13894276320934296,0.01085063349455595
41,0.6228190064430237,0.01962030865252018,0.14371459186077118,0.010579013265669346
42,0.2742941975593567,0.020952213555574417,0.14228230714797974,0.010347816161811352
43,0.2925336956977844,0.023470355197787285,0.14405712485313416,0.011990191414952278
44,0.2355492264032364,0.021653568372130394,0.15670935809612274,0.01877056248486042
45,0.31731823086738586,0.03512585163116455,0.2410546839237213,0.015862612053751945
46,0.32391446828842163,0.031004583463072777,0.16223309934139252,0.029900288209319115
47,0.2600255608558655,0.025768157094717026,0.11981423199176788,0.011965729296207428
48,0.27711886167526245,0.02148309163749218,0.11637681722640991,0.012152680195868015
