
gridstats_2012-1_2023-12_y098-195_x000-154
            min min        max max        mean mean      mean std
rsm-40      -0.096         1.000          0.472          0.081
rsm-100     -0.358         1.000          0.416          0.062
rsm-200     -0.189         1.000          0.440          0.044
rsm-fc      -0.152         0.934          0.440          0.046
soilm-fc    76.500         884.400        468.274        34.471
windmag     0.000          28.475         3.757          1.920

gridstats_2012-1_2023-12_y098-195_x154-308
            min min        max max        mean mean      mean std
tmp         248.010        320.570        291.875        5.913
spfh        0.000          0.027          0.009          0.003
pres        64842.840      104188.641     96725.281      490.339
ugrd        -19.470        23.130         -0.293         2.357
vgrd        -17.860        22.580         1.176          3.284
dlwrf       107.480        532.070        339.797        41.430
pevap       -0.957         2.033          0.258          0.276
apcp        0.000          119.869        0.108          0.757
dswrf       0.000          1321.273       209.576        265.025
asnow       0.000          94.190         0.001          0.025
arain       0.000          119.869        0.107          0.753
evp         -0.095         1.467          0.073          0.097
ssrun       0.000          88.816         0.013          0.187
bgrun       0.000          11.489         0.022          0.028
snom        0.000          82.627         0.001          0.014
weasd       0.000          307.200        0.104          0.386
cnwat       0.000          0.500          0.064          0.138
soilm-10    2.000          47.600         22.268         3.582
soilm-40    6.000          142.800        69.590         8.165
soilm-100   12.000         269.830        131.110        19.047
soilm-200   20.000         476.000        230.344        30.792
tsoil-10    250.660        321.350        290.385        4.823
tsoil-40    258.620        310.060        290.018        1.972
tsoil-100   260.960        307.950        289.940        1.467
tsoil-200   262.720        306.620        289.739        1.162
evcw        0.000          953.000        6.570          22.556
trans       0.000          630.000        29.630         41.205
evbs        0.000          479.900        15.263         22.907
lai         0.060          6.000          2.952          0.121
veg         0.000          0.990          0.428          0.019
rsm-10      -0.155         1.000          0.397          0.097
rsm-40      -0.358         1.000          0.424          0.073
rsm-100     -0.358         0.957          0.386          0.086
rsm-200     -0.358         1.000          0.418          0.083
rsm-fc      -0.254         0.968          0.408          0.073
soilm-fc    53.310         901.020        453.311        54.082
windmag     0.000          24.094         4.082          1.855

gridstats_2012-1_2023-12_y098-195_x308-462
            min min        max max        mean mean      mean std
tmp         246.900        317.220        291.510        5.219
spfh        0.000          0.026          0.011          0.003
pres        83541.539      104475.422     99727.148      470.415
ugrd        -23.660        26.780         0.161          2.805
vgrd        -27.150        22.530         0.314          2.723
dlwrf       119.290        536.530        352.369        43.590
pevap       -0.707         2.395          0.215          0.248
apcp        0.000          117.757        0.147          0.856
dswrf       0.000          1368.543       205.833        263.171
asnow       0.000          55.496         0.001          0.016
arain       0.000          117.757        0.146          0.855
evp         -0.081         1.264          0.088          0.113
ssrun       0.000          87.016         0.014          0.175
bgrun       0.000          17.149         0.044          0.053
snom        0.000          32.710         0.001          0.010
weasd       0.000          109.594        0.035          0.229
cnwat       0.000          0.500          0.093          0.168
soilm-10    2.530          47.600         20.818         2.671
soilm-40    6.000          142.800        63.601         6.404
soilm-100   12.000         298.730        125.596        12.442
soilm-200   20.000         445.420        211.845        27.767
tsoil-10    254.010        317.590        290.580        4.260
tsoil-40    265.330        307.470        290.306        1.787
tsoil-100   271.850        305.430        290.334        1.323
tsoil-200   273.980        304.170        290.351        1.041
evcw        0.000          811.700        10.938         32.905
trans       0.000          560.000        38.973         54.347
evbs        0.000          602.200        12.589         17.221
lai         0.650          6.000          3.804          0.124
veg         0.000          0.990          0.559          0.018
rsm-10      0.005          1.000          0.420          0.070
rsm-40      -0.069         1.000          0.430          0.056
rsm-100     -0.358         1.056          0.423          0.054
rsm-200     -0.205         0.967          0.430          0.072
rsm-fc      -0.057         0.881          0.427          0.056
soilm-fc    53.810         836.390        421.861        42.771
windmag     0.000          28.527         3.707          1.774
