epoch,loss,res_only,state_only,val_loss,val_res_only,val_state_only
0,3.6197075843811035,2.317169189453125,0.7796659469604492,2.0244462490081787,1.07944655418396,0.3871845602989197
1,1.8515000343322754,0.7940552830696106,0.19344955682754517,1.55502188205719,0.6908407211303711,0.19011777639389038
2,1.782335877418518,0.7566350698471069,0.18359693884849548,1.5772020816802979,0.6992135047912598,0.1852242648601532
3,1.798595905303955,0.7628459334373474,0.1864302158355713,1.5693696737289429,0.6956957578659058,0.18837836384773254
4,1.8120425939559937,0.7630134224891663,0.1868918240070343,1.5229365825653076,0.6760118007659912,0.18421542644500732
5,1.8070167303085327,0.7656864523887634,0.1868101805448532,1.5447334051132202,0.6860284805297852,0.18700750172138214
6,1.8006473779678345,0.7617684006690979,0.18505090475082397,1.5476446151733398,0.682651937007904,0.1871991753578186
7,1.8940485715866089,0.9972245693206787,0.35284677147865295,1.2869997024536133,0.7657355070114136,0.3835797905921936
8,1.3643467426300049,0.7412505149841309,0.24597790837287903,1.1634023189544678,0.71330726146698,0.3150086998939514
9,1.1106610298156738,0.5663580298423767,0.16684740781784058,0.8823067545890808,0.48871809244155884,0.15490609407424927
10,1.0120880603790283,0.5331522226333618,0.1558300405740738,0.8696572780609131,0.48570048809051514,0.15684658288955688
11,1.0327955484390259,0.5335307717323303,0.15208156406879425,0.863308310508728,0.4813966751098633,0.15318334102630615
12,0.9963219165802002,0.5171805620193481,0.148300439119339,0.8496208786964417,0.47513216733932495,0.1514863520860672
13,0.9993399977684021,0.5222391486167908,0.15068452060222626,0.8223190903663635,0.46208319067955017,0.1490633338689804
14,0.9931225776672363,0.519897997379303,0.14916057884693146,0.8747929334640503,0.48819974064826965,0.15486884117126465
15,1.489368200302124,0.8977664113044739,0.3070894181728363,1.096017837524414,0.6903082132339478,0.24279841780662537
16,1.1149170398712158,0.627583920955658,0.22242596745491028,1.2395597696304321,0.8244435787200928,0.27042242884635925
17,0.9484127163887024,0.5066432952880859,0.14876814186573029,0.7800793051719666,0.448796808719635,0.1398741751909256
18,0.869391679763794,0.4661533832550049,0.13434988260269165,0.7424688339233398,0.4264497458934784,0.13288526237010956
