epoch,loss,residual_loss,val_loss,val_residual_loss
0,0.33204981684684753,2.3009750843048096,NA,NA
1,0.03325136378407478,0.19257675111293793,0.035323627293109894,0.21836315095424652
2,0.03138143941760063,0.17629848420619965,NA,NA
3,0.030955562368035316,0.1725514829158783,0.03280108422040939,0.20047034323215485
4,0.030779991298913956,0.171578511595726,NA,NA
5,0.0308896005153656,0.17128831148147583,0.032500822097063065,0.19815927743911743
6,0.030607450753450394,0.16981308162212372,NA,NA
7,0.05052074417471886,0.3406716585159302,0.03610304370522499,0.23249442875385284
8,0.03647265583276749,0.22278936207294464,NA,NA
9,0.031598299741744995,0.1796240210533142,0.03147691860795021,0.19140076637268066
10,0.03127177059650421,0.176143079996109,NA,NA
11,0.03107541613280773,0.174150288105011,0.029442941769957542,0.17200465500354767
12,0.031117094680666924,0.1740206629037857,NA,NA
13,0.03086184151470661,0.1726224571466446,0.029335150495171547,0.1713632345199585
14,0.031095365062355995,0.17350956797599792,NA,NA
15,0.04192017763853073,0.26927387714385986,0.03884963318705559,0.25401511788368225
16,0.0356789268553257,0.21633043885231018,NA,NA
17,0.03201352804899216,0.18164898455142975,0.0317450612783432,0.19212768971920013
18,0.031245263293385506,0.17547285556793213,NA,NA
19,0.03099687583744526,0.17356449365615845,0.02937878482043743,0.1718684285879135
20,0.031010566279292107,0.17343665659427643,NA,NA
21,0.03106643445789814,0.17346851527690887,0.029439177364110947,0.17189042270183563
22,0.03089148923754692,0.17324841022491455,NA,NA
23,0.04092703014612198,0.25927576422691345,0.03167807683348656,0.19176891446113586
24,0.03579404577612877,0.21494711935520172,NA,NA
25,0.0319441482424736,0.1815282255411148,0.0304055605083704,0.18045476078987122
26,0.031178608536720276,0.17489777505397797,NA,NA
27,0.03096187673509121,0.17310526967048645,0.029704172164201736,0.17362362146377563
28,0.03102216310799122,0.17317914962768555,NA,NA
29,0.03112642653286457,0.17399591207504272,0.02930022031068802,0.17109787464141846
30,0.031082501634955406,0.17368225753307343,NA,NA
31,0.03762950375676155,0.23213931918144226,0.032415103167295456,0.19856709241867065
32,0.03481622785329819,0.20653055608272552,NA,NA
33,0.0316532738506794,0.17929713428020477,0.031703412532806396,0.1926449090242386
34,0.03109860233962536,0.17521680891513824,NA,NA
35,0.030792836099863052,0.17228789627552032,0.02941044606268406,0.17184457182884216
36,0.030894309282302856,0.17286629974842072,NA,NA
37,0.03114868886768818,0.1742108166217804,0.029378969222307205,0.1715337187051773
38,0.031081704422831535,0.17338250577449799,NA,NA
39,0.03976118937134743,0.250117689371109,0.03360508009791374,0.2055346816778183
40,0.03446329012513161,0.20336955785751343,NA,NA
41,0.031674280762672424,0.18012011051177979,0.0318792462348938,0.19404269754886627
42,0.031121913343667984,0.17497113347053528,NA,NA
43,0.030800385400652885,0.1728823035955429,0.02954186126589775,0.1726473867893219
44,0.030717330053448677,0.17198015749454498,NA,NA
45,0.03083742968738079,0.17215962707996368,0.02927021123468876,0.17090600728988647
46,0.03082919307053089,0.17266803979873657,NA,NA
47,0.036057017743587494,0.21776600182056427,0.03086860105395317,0.1852930337190628
48,0.03435767441987991,0.20246635377407074,NA,NA
49,0.031460024416446686,0.17805586755275726,0.03008485771715641,0.17814704775810242
50,0.030923742800951004,0.17427976429462433,NA,NA
51,0.031153203919529915,0.17419514060020447,0.02940434403717518,0.17182011902332306
52,0.03099229373037815,0.17305421829223633,NA,NA
53,0.031072767451405525,0.17344455420970917,0.02940010279417038,0.17185324430465698
54,0.031176872551441193,0.1745103895664215,NA,NA
55,0.035202283412218094,0.20906446874141693,0.03294457867741585,0.2046193778514862
56,0.034021854400634766,0.1994507759809494,NA,NA
57,0.031554169952869415,0.1786731481552124,0.030664775520563126,0.18293291330337524
58,0.03147406876087189,0.17616865038871765,NA,NA
59,0.030858753249049187,0.17218466103076935,0.029472606256604195,0.17259523272514343
60,0.03108629398047924,0.1738101989030838,NA,NA
61,0.030833378434181213,0.17303697764873505,0.029493940994143486,0.17225462198257446
62,0.03078318014740944,0.1724867969751358,NA,NA
63,0.034600429236888885,0.20443785190582275,0.030016092583537102,0.17694123089313507
64,0.04255664348602295,0.2176448106765747,NA,NA
65,0.04072042554616928,0.20267105102539062,0.030463967472314835,0.18145513534545898
66,0.040898095816373825,0.2022833526134491,NA,NA
67,0.040184687823057175,0.19718308746814728,0.029896801337599754,0.17576517164707184
68,0.040483951568603516,0.19914253056049347,NA,NA
69,0.04074515774846077,0.20001894235610962,0.029559364542365074,0.17304176092147827
70,0.04081862047314644,0.19923673570156097,NA,NA
71,0.04428945109248161,0.23116528987884521,0.03224993497133255,0.19482827186584473
72,0.042587343603372574,0.21665041148662567,NA,NA
73,0.04093732684850693,0.20296481251716614,0.030142661184072495,0.17784540355205536
74,0.04057292640209198,0.19980934262275696,NA,NA
75,0.04065603017807007,0.19906100630760193,0.029555048793554306,0.1734350472688675
76,0.04050706326961517,0.19949012994766235,NA,NA
77,0.04057364910840988,0.1985967755317688,0.029605522751808167,0.17348812520503998
78,0.040383897721767426,0.19818361103534698,NA,NA
79,0.04403427988290787,0.23000642657279968,0.03180359676480293,0.19164793193340302
80,0.04250841587781906,0.21663732826709747,NA,NA
81,0.04109504446387291,0.2041153609752655,0.030324067920446396,0.17885759472846985
82,0.04075087234377861,0.20021985471248627,NA,NA
83,0.04086197540163994,0.19994883239269257,0.029791759327054024,0.17529627680778503
84,0.04056859761476517,0.1991933137178421,NA,NA
85,0.040661659091711044,0.20041605830192566,0.02953163906931877,0.17288489639759064
86,0.04043728858232498,0.19869397580623627,NA,NA
87,0.0435883030295372,0.2256980538368225,0.03213800489902496,0.19705504179000854
88,0.042249005287885666,0.21555517613887787,NA,NA
89,0.0408504493534565,0.20176345109939575,0.030061323195695877,0.17798231542110443
90,0.04055247828364372,0.2000189572572708,NA,NA
91,0.04044390097260475,0.19873164594173431,0.029505552724003792,0.17276506125926971
92,0.04042963683605194,0.19886048138141632,NA,NA
93,0.04042093828320503,0.19785961508750916,0.029472749680280685,0.17256130278110504
94,0.040522728115320206,0.19918587803840637,NA,NA
95,0.043296027928590775,0.2236350178718567,0.03490283712744713,0.22283345460891724
96,0.04252667725086212,0.21666505932807922,NA,NA
97,0.04090505838394165,0.20206010341644287,0.030158527195453644,0.17866870760917664
98,0.040517810732126236,0.19919340312480927,NA,NA
99,0.04060257226228714,0.19983543455600739,0.029813110828399658,0.17549994587898254
100,0.04021550714969635,0.1983310878276825,NA,NA
101,0.04047691822052002,0.19820742309093475,0.029523588716983795,0.17298629879951477
102,0.04068056493997574,0.19899728894233704,NA,NA
103,0.043539583683013916,0.22584210336208344,0.031687118113040924,0.19206278026103973
104,0.042555633932352066,0.21455392241477966,NA,NA
105,0.04102790728211403,0.20301775634288788,0.029825719073414803,0.17511771619319916
106,0.040868282318115234,0.20133797824382782,NA,NA
107,0.04061470553278923,0.19871652126312256,0.02950425073504448,0.172943577170372
108,0.0410456620156765,0.20106686651706696,NA,NA
109,0.04082629084587097,0.20017951726913452,0.0296935997903347,0.17427794635295868
110,0.04044700786471367,0.1981380730867386,NA,NA
111,0.0427115373313427,0.218739315867424,0.0318179726600647,0.19396032392978668
112,0.04206284135580063,0.21321746706962585,NA,NA
113,0.041063882410526276,0.20343028008937836,0.03016752377152443,0.17811961472034454
114,0.04070768132805824,0.19974784553050995,NA,NA
115,0.040541037917137146,0.19961674511432648,0.02982509881258011,0.17573174834251404
116,0.04074091091752052,0.19995996356010437,NA,NA
117,0.040478624403476715,0.19817101955413818,0.029778333380818367,0.17438828945159912
118,0.04058972746133804,0.19916103780269623,NA,NA
119,0.04316467419266701,0.22174805402755737,0.03125109151005745,0.18815870583057404
120,0.042303189635276794,0.21322442591190338,NA,NA
121,0.04076182842254639,0.2010899931192398,0.03248446434736252,0.19963356852531433
122,0.04037593677639961,0.19918732345104218,NA,NA
123,0.04084690287709236,0.20033018290996552,0.029780516400933266,0.17480342090129852
124,0.040482040494680405,0.19854973256587982,NA,NA
125,0.040453553199768066,0.1981056034564972,0.02949746511876583,0.17256097495555878
126,0.040594764053821564,0.19913354516029358,NA,NA
127,0.04287787899374962,0.21947206556797028,0.03028171695768833,0.17943093180656433
128,0.046240340918302536,0.21555285155773163,NA,NA
129,0.04490511119365692,0.2046322077512741,0.031182795763015747,0.18819886445999146
130,0.04493223875761032,0.20393437147140503,NA,NA
131,0.04491950199007988,0.2038196325302124,0.031132593750953674,0.18733926117420197
132,0.04482656717300415,0.20334632694721222,NA,NA
133,0.0448111966252327,0.20199927687644958,0.030043557286262512,0.17742687463760376
134,0.044941600412130356,0.20221716165542603,NA,NA
135,0.04676854610443115,0.21996547281742096,0.03199822083115578,0.1956801861524582
136,0.04631887003779411,0.21521420776844025,NA,NA
137,0.04545314237475395,0.2073739767074585,0.030277768149971962,0.1793229877948761
138,0.04503655061125755,0.20352105796337128,NA,NA
139,0.044993042945861816,0.2036559134721756,0.030778424814343452,0.18403074145317078
140,0.04483382776379585,0.20276883244514465,NA,NA
141,0.04499778896570206,0.2028939127922058,0.03030986897647381,0.1796444207429886
