epoch,loss,res_kge,res_nnse,res_only,res_pearson_coeff,state_kge,state_nnse,state_only,state_pearson_coeff,val_loss,val_res_kge,val_res_nnse,val_res_only,val_res_pearson_coeff,val_state_kge,val_state_nnse,val_state_only,val_state_pearson_coeff
0,0.39906492829322815,-inf,3.7017576687503606e-05,0.3878517150878906,0.0006241064402274787,-18806.431640625,1.1338283911754843e-06,19.573745727539062,-0.007989474572241306,0.1102101057767868,-inf,5.207905633142218e-05,0.10580401122570038,0.0050047617405653,-15326.0048828125,3.088354105784674e-06,7.743128776550293,-0.0015002007130533457
1,0.09592309594154358,-inf,7.583243132103235e-05,0.09196807444095612,0.011884978972375393,-5909.87841796875,3.5754826512857107e-06,6.703062534332275,0.00893407966941595,0.07224936038255692,-inf,0.00010003749775933102,0.0693482905626297,0.019987192004919052,-10020.099609375,7.264646683324827e-06,4.9179487228393555,0.029037846252322197
2,0.07204946130514145,-inf,0.00010773231770144776,0.0690109133720398,0.01784304715692997,-4692.79296875,5.938829417573288e-06,5.022400856018066,0.020712338387966156,0.05810551345348358,-inf,0.00012430927017703652,0.055738311260938644,0.025772564113140106,-3658.694580078125,9.694334949017502e-06,3.920959949493408,0.03324960544705391
3,0.06245752424001694,-inf,0.00012937188148498535,0.05982295051217079,0.02121606282889843,-3674.030517578125,7.749679753032979e-06,4.290855407714844,0.02956377901136875,0.054118089377880096,-inf,0.00014368866686709225,0.0518646314740181,0.02739577367901802,-3399.570068359375,1.0948436283797491e-05,3.6889965534210205,0.04031459614634514
4,0.0585339292883873,-inf,0.00014598199049942195,0.05602119490504265,0.02310575731098652,-3939.044677734375,8.735420124139637e-06,4.030972480773926,0.03635934367775917,0.05075822025537491,-inf,0.00015852009528316557,0.04869968444108963,0.03071228601038456,-2997.2001953125,1.3489846423908602e-05,3.3091330528259277,0.0590243935585022
5,0.055217307060956955,-inf,0.00015315732161980122,0.05282355099916458,0.023642534390091896,-3029.66357421875,9.501165550318547e-06,3.8137409687042236,0.04323046654462814,0.04874613508582115,-inf,0.00016915312153287232,0.0467279776930809,0.02846384420990944,-2594.15185546875,1.3679767107532825e-05,3.240999460220337,0.046992067247629166
6,0.05373137444257736,-inf,0.00015690425061620772,0.051417578011751175,0.023355664685368538,-3793.78271484375,9.988568308472168e-06,3.6893503665924072,0.04537190869450569,0.04798680916428566,-inf,0.00017633673269301653,0.04598340392112732,0.028853408992290497,-2821.08544921875,1.446046371711418e-05,3.1930809020996094,0.04889896512031555
7,0.05338800698518753,-inf,0.0001668591721681878,0.05107314884662628,0.024063723161816597,-2989.972900390625,1.0463946637173649e-05,3.6565980911254883,0.03982441499829292,0.04661485552787781,-inf,0.00018079744768328965,0.04466008022427559,0.0276633333414793,-2487.900634765625,1.5031297152745537e-05,3.1353957653045654,0.047198567539453506
8,0.052848923951387405,-inf,0.00016645618597976863,0.05053810775279999,0.024106567725539207,-2453.64208984375,1.042522671923507e-05,3.6399214267730713,0.043307993561029434,0.04680584743618965,-inf,0.00017531182675156742,0.044855039566755295,0.028818797320127487,-2410.897216796875,1.4228156942408532e-05,3.1127045154571533,0.0544331818819046
9,0.052240509539842606,-inf,0.00017247740470338613,0.0499693937599659,0.024001820012927055,-2865.4453125,1.0760943951027002e-05,3.5709052085876465,0.04540900141000748,0.04605845361948013,-inf,0.000185546072316356,0.0441262423992157,0.029172638431191444,-2352.747314453125,1.5344729035859928e-05,3.071113109588623,0.05163080617785454
10,0.05242391303181648,-inf,0.0001665697927819565,0.0501522533595562,0.024183958768844604,-13545774.0,1.0817025213327724e-05,3.594792604446411,0.04318438470363617,0.04626641422510147,-inf,0.00018186078523285687,0.04433119297027588,0.027527404949069023,-2367.704345703125,1.4904096133250277e-05,3.094620943069458,0.044443339109420776
11,0.05177932605147362,-inf,0.00017264456255361438,0.049526333808898926,0.02456165850162506,-2948.732421875,1.1087950952060055e-05,3.5497210025787354,0.04400147125124931,0.04668315872550011,-inf,0.0001816496514948085,0.04473208263516426,0.028584569692611694,-2344.7578125,1.4441891835303977e-05,3.096344232559204,0.04801475256681442
12,0.051996130496263504,-inf,0.00016939023043960333,0.04972926154732704,0.023152831941843033,-5194.1123046875,1.0829812708834652e-05,3.5690736770629883,0.053865958005189896,0.045704279094934464,-inf,0.00018573200213722885,0.04379918798804283,0.029243340715765953,-2389.77734375,1.612521919014398e-05,3.025608539581299,0.054648257791996
13,0.05059029534459114,-inf,0.00017503902199678123,0.04838251695036888,0.024269605055451393,-2681.268310546875,1.1503595487738494e-05,3.4649288654327393,0.039615895599126816,0.04558064788579941,-inf,0.00019198782683815807,0.04370855912566185,0.03030354343354702,-2316.2236328125,1.6253245121333748e-05,2.944922924041748,0.049584031105041504
14,0.04646693915128708,-inf,0.00022124614042695612,0.04446613788604736,0.02751801162958145,-10871141.0,1.4598958841816057e-05,3.0741779804229736,0.05431937053799629,0.036898672580718994,-inf,0.0002919471880886704,0.0353538803756237,0.033313870429992676,-3672.54052734375,2.413711990811862e-05,2.358896255493164,0.021514879539608955
15,0.03619882091879845,-inf,0.002928331959992647,0.0349748469889164,0.10796236991882324,-2498.42626953125,0.00011594937677728012,1.67039155960083,0.09059897065162659,0.017351729795336723,-inf,0.008489547297358513,0.01672239787876606,0.2034047544002533,-3765.166748046875,0.00040790505590848625,0.6798359751701355,0.142007514834404
16,0.016641901805996895,-inf,0.013064039871096611,0.016025753691792488,0.2545522153377533,-1215.35205078125,0.0005561936413869262,0.6012492775917053,0.18011508882045746,0.014338666573166847,-inf,0.015330690890550613,0.013822413980960846,0.2760421931743622,-2131.947265625,0.00066485779825598,0.5235531330108643,0.18741875886917114
17,0.01350878644734621,-inf,0.016927557066082954,0.01301062572747469,0.3144557476043701,-1132.68701171875,0.0010378181468695402,0.41685935854911804,0.24477438628673553,0.014891132712364197,-inf,0.01663178950548172,0.01437912043184042,0.2723924219608307,-5564.40234375,0.0007776618585921824,0.5330320596694946,0.10443137586116791
18,0.01245395839214325,-inf,0.01823490485548973,0.011999040842056274,0.3432430028915405,-1358.3968505859375,0.0014458665391430259,0.3587177097797394,0.2816223204135895,0.012099598534405231,-inf,0.017893213778734207,0.011672857217490673,0.32247817516326904,-1643.980224609375,0.001355419517494738,0.37813234329223633,0.25874048471450806
19,0.011356250382959843,-inf,0.018999924883246422,0.01094428263604641,0.3572254776954651,-589.77783203125,0.0021505195181816816,0.28064870834350586,0.3339550495147705,0.012373009696602821,-inf,0.01835695095360279,0.011935331858694553,0.33246931433677673,-4133.91845703125,0.0012569510145112872,0.4085547626018524,0.24684172868728638
20,0.010829601436853409,-inf,0.0192276444286108,0.010435856878757477,0.3648076355457306,-363.4075012207031,0.002540823072195053,0.24757632613182068,0.36583858728408813,0.01018690224736929,-inf,0.019164901226758957,0.009842648170888424,0.3407619297504425,-702.0687255859375,0.003036270849406719,0.22828885912895203,0.3887600600719452
21,0.010575380176305771,-inf,0.019516529515385628,0.0101998345926404,0.372928649187088,-942.908203125,0.0028746523894369602,0.22661122679710388,0.40051811933517456,0.010205904021859169,-inf,0.019228139892220497,0.009859212674200535,0.3461015820503235,-725.5061645507812,0.0030649451073259115,0.2273728996515274,0.4000379741191864
22,0.010382634587585926,-inf,0.01974627748131752,0.010008694604039192,0.374309778213501,-286.8471984863281,0.0031099615152925253,0.21677769720554352,0.4125315248966217,0.010003765113651752,-inf,0.01924278773367405,0.009668312035501003,0.34363439679145813,-392.7632141113281,0.0031758372206240892,0.21789516508579254,0.3984788656234741
23,0.010351398959755898,-inf,0.019554318860173225,0.009979933500289917,0.36708199977874756,-297.4206237792969,0.0030860661063343287,0.2162768542766571,0.41154205799102783,0.009705408476293087,-inf,0.01945822685956955,0.009375691413879395,0.3411863148212433,-661.8640747070312,0.003161002416163683,0.21553541719913483,0.406655877828598
24,0.010224598459899426,-inf,0.02005329169332981,0.009859973564743996,0.37494033575057983,-947.8931274414062,0.003155941842123866,0.21284127235412598,0.4239661991596222,0.009846130385994911,-inf,0.01945742964744568,0.00951253343373537,0.3444245159626007,-406.6346130371094,0.0031887029763311148,0.21647582948207855,0.3963833451271057
25,0.010304718278348446,-inf,0.019689224660396576,0.00993303768336773,0.37361061573028564,-324.421630859375,0.0030898991972208023,0.21379800140857697,0.4228947162628174,0.009832142852246761,-inf,0.019452134147286415,0.009499330073595047,0.3443463444709778,-676.6363525390625,0.0033062477596104145,0.21355096995830536,0.4027813971042633
26,0.010307835415005684,-inf,0.01998058520257473,0.009937857277691364,0.37472018599510193,-310.5762634277344,0.0031335807871073484,0.21627239882946014,0.4262990951538086,0.01003522053360939,-inf,0.019470572471618652,0.009696114808321,0.3462582528591156,-670.70703125,0.00329619855619967,0.2142953723669052,0.4049049913883209
27,0.010271270759403706,-inf,0.01978565938770771,0.009896528907120228,0.37403029203414917,-230.45230102539062,0.0031490453984588385,0.21185940504074097,0.4295090436935425,0.009778599254786968,-inf,0.019652558490633965,0.00944757740944624,0.34603628516197205,-585.4122924804688,0.0032734135165810585,0.212909996509552,0.39434418082237244
28,0.010326651856303215,-inf,0.019986264407634735,0.009954564273357391,0.37581589818000793,-1073284.75,0.00323319248855114,0.2116694301366806,0.4301508367061615,0.010063436813652515,-inf,0.019507599994540215,0.009722704999148846,0.34736567735671997,-501.9895324707031,0.0033000092953443527,0.21503211557865143,0.4047671854496002
29,0.010389033704996109,-inf,0.019777437672019005,0.010010928846895695,0.3771391808986664,-292.13897705078125,0.0031219383236020803,0.2136431634426117,0.42364808917045593,0.009936310350894928,-inf,0.019647415727376938,0.009595564566552639,0.3463776111602783,-441.1524963378906,0.003085005795583129,0.22379127144813538,0.38045021891593933
30,0.01085512526333332,-inf,0.020411532372236252,0.010466501116752625,0.38286691904067993,-713.7147216796875,0.0026152885984629393,0.25903284549713135,0.3500044047832489,0.010992232710123062,-inf,0.0198974572122097,0.010611088946461678,0.3588818907737732,-3846.370849609375,0.0018681430956348777,0.31745147705078125,0.30755820870399475
