epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,2.3179802894592285,0.7228131294250488,2.3179798126220703,0.26519912481307983,0.38742420077323914,0.2651991546154022
1,0.15723028779029846,0.2803500294685364,0.15723031759262085,0.12001454830169678,0.24063444137573242,0.12001452594995499
2,0.09339934587478638,0.21539191901683807,0.09339936077594757,0.06727585196495056,0.19111405313014984,0.06727585196495056
3,0.03967994824051857,0.1430184543132782,0.039679933339357376,0.029060034081339836,0.12327776104211807,0.029060035943984985
4,0.023538053035736084,0.11114100366830826,0.023538047447800636,0.060167185962200165,0.20749206840991974,0.060167182236909866
5,0.02447197586297989,0.11364704370498657,0.02447197586297989,0.02051272615790367,0.09730786830186844,0.02051273174583912
6,0.02194361947476864,0.1068016067147255,0.02194361761212349,0.022840216755867004,0.11832769960165024,0.022840218618512154
7,0.017996666952967644,0.09417203068733215,0.017996670678257942,0.018482614308595657,0.09635063260793686,0.018482612445950508
8,0.012412067502737045,0.0761287659406662,0.012412064708769321,0.012708215042948723,0.07484414428472519,0.012708212248980999
9,0.011818314902484417,0.07532438635826111,0.011818313039839268,0.013492629863321781,0.0814906433224678,0.013492628931999207
10,0.011174107901751995,0.07210724800825119,0.011174104176461697,0.01598391681909561,0.09371644258499146,0.015983914956450462
11,0.01150758471339941,0.07276549190282822,0.011507585644721985,0.008809647522866726,0.06044431030750275,0.008809649385511875
12,0.010037412866950035,0.06640662997961044,0.010037409141659737,0.00889484491199255,0.05963880941271782,0.00889484491199255
13,0.009132185950875282,0.06263797730207443,0.009132187813520432,0.008134004659950733,0.05887897312641144,0.008134002797305584
14,0.008923484943807125,0.06081539765000343,0.0089234858751297,0.0083006015047431,0.056777238845825195,0.008300602436065674
15,0.009671403095126152,0.06333038955926895,0.009671404957771301,0.009860136546194553,0.061146557331085205,0.009860137477517128
16,0.008680617436766624,0.059034258127212524,0.008680618368089199,0.009683295153081417,0.06626834720373154,0.009683294221758842
17,0.009472562931478024,0.0625767931342125,0.009472563862800598,0.00965536292642355,0.0660507082939148,0.00965536292642355
18,0.008656494319438934,0.05892269313335419,0.00865649338811636,0.007799073588103056,0.053403567522764206,0.007799072191119194
19,0.00817284919321537,0.056608423590660095,0.00817285105586052,0.007408312521874905,0.052286628633737564,0.007408313453197479
20,0.00716403080150485,0.052221257239580154,0.007164029870182276,0.007255011238157749,0.05191845819354057,0.0072550103068351746
21,0.0073744188994169235,0.0522981695830822,0.007374421693384647,0.007116371300071478,0.0511137992143631,0.007116369903087616
22,0.007317892275750637,0.05255836620926857,0.00731789181008935,0.010316616855561733,0.0678340420126915,0.010316615924239159
23,0.0073904856108129025,0.05196115002036095,0.007390484679490328,0.007134465500712395,0.046855296939611435,0.007134465500712395
24,0.0071859294548630714,0.052037306129932404,0.007185932714492083,0.008652484975755215,0.059568461030721664,0.008652484975755215
25,0.006543278228491545,0.04884932190179825,0.006543279159814119,0.0058902110904455185,0.04319749400019646,0.005890210624784231
26,0.006262492388486862,0.04613439738750458,0.006262493319809437,0.006337343715131283,0.049156684428453445,0.006337342318147421
27,0.006788422353565693,0.048800479620695114,0.006788422353565693,0.006454097107052803,0.04750457778573036,0.006454096641391516
28,0.006678630132228136,0.047761622816324234,0.006678627338260412,0.006149389315396547,0.047356266528367996,0.00614938884973526
29,0.0066277519799768925,0.04674939811229706,0.006627751048654318,0.005519199185073376,0.04233354702591896,0.005519198719412088
30,0.006219263654202223,0.04552623629570007,0.006219263654202223,0.005029902793467045,0.04048090800642967,0.005029901396483183
31,0.006186988204717636,0.04446211829781532,0.006186988204717636,0.00655102776363492,0.04531904682517052,0.006551027297973633
32,0.00595483835786581,0.04343367740511894,0.005954839289188385,0.005934151355177164,0.04462336376309395,0.005934150889515877
33,0.0060301125049591064,0.04407393932342529,0.006030113901942968,0.006358881946653128,0.04669633507728577,0.006358882412314415
34,0.006010468117892742,0.04425048828125,0.0060104685835540295,0.006075622979551554,0.04628412798047066,0.006075622979551554
35,0.005726770963519812,0.04236200451850891,0.0057267677038908005,0.005414772313088179,0.038464292883872986,0.005414772313088179
36,0.005968579091131687,0.04358794167637825,0.0059685795567929745,0.005548879504203796,0.04071163013577461,0.005548879969865084
37,0.005676835309714079,0.042756009846925735,0.005676834378391504,0.0054357461631298065,0.04181528091430664,0.005435746628791094
38,0.0058556064032018185,0.043121520429849625,0.005855605937540531,0.006197571288794279,0.04143403843045235,0.006197571754455566
39,0.005575282499194145,0.04112767055630684,0.005575280636548996,0.005289920140057802,0.04104377701878548,0.005289920140057802
40,0.005858196411281824,0.04348934069275856,0.005858195945620537,0.0049743312411010265,0.039718661457300186,0.004974330309778452
41,0.006162015255540609,0.04526139423251152,0.006162016652524471,0.005446533672511578,0.04083475098013878,0.005446534138172865
42,0.005436202511191368,0.040478527545928955,0.005436202976852655,0.005644927732646465,0.03920574113726616,0.005644928198307753
43,0.005729897413402796,0.0422351211309433,0.005729896016418934,0.005643914453685284,0.042781103402376175,0.005643913056701422
44,0.0054554445669054985,0.040243834257125854,0.00545544596388936,0.0058630406856536865,0.04505346342921257,0.0058630406856536865
45,0.005418345332145691,0.039793673902750015,0.005418345797806978,0.004938571713864803,0.03508787974715233,0.004938571248203516
46,0.005159147549420595,0.037195298820734024,0.005159148946404457,0.0059404741041362286,0.04140264168381691,0.0059404741041362286
47,0.005595937371253967,0.04004739597439766,0.00559593690559268,0.00575514230877161,0.039686329662799835,0.005755142774432898
48,0.005685325246304274,0.0416589193046093,0.0056853266432881355,0.005773602519184351,0.04330761730670929,0.005773602053523064
49,0.00543564185500145,0.0415189228951931,0.005435640458017588,0.005600320175290108,0.041349608451128006,0.005600320640951395
50,0.005506407469511032,0.038687627762556076,0.0055064051412045956,0.005188914015889168,0.03763376921415329,0.005188914481550455
51,0.005321977194398642,0.037628423422575,0.005321977194398642,0.0061326646246016026,0.04109681397676468,0.006132664158940315
52,0.005089603830128908,0.03675198554992676,0.005089602433145046,0.005049150437116623,0.03534971922636032,0.005049150437116623
53,0.005308098159730434,0.037259235978126526,0.005308098625391722,0.0047589875757694244,0.03458152338862419,0.004758988041430712
54,0.0051046498119831085,0.036631371825933456,0.005104648414999247,0.004965821746736765,0.03834139183163643,0.004965822212398052
55,0.005141432397067547,0.037833020091056824,0.00514143006876111,0.004695494659245014,0.03265257924795151,0.0046954951249063015
56,0.004985066130757332,0.037444520741701126,0.0049850656650960445,0.004795257933437824,0.039428312331438065,0.0047952583990991116
57,0.004860793240368366,0.03662334755063057,0.004860792774707079,0.00498184422031045,0.03648769110441208,0.00498184422031045
58,0.005018411669880152,0.0368947796523571,0.005018413998186588,0.004511697683483362,0.033399805426597595,0.004511698614805937
59,0.004809706937521696,0.035017356276512146,0.004809707403182983,0.004806082230061293,0.03399789705872536,0.004806083161383867
60,0.0050008343532681465,0.03662637621164322,0.005000836215913296,0.004852453712373972,0.03666118532419205,0.0048524546436965466
61,0.005079463589936495,0.037455953657627106,0.005079464986920357,0.0053252954967319965,0.03739139065146446,0.005325295031070709
62,0.0051141297444701195,0.037186697125434875,0.005114130210131407,0.004976542666554451,0.036538708955049515,0.004976543132215738
63,0.00497091468423605,0.036258284002542496,0.004970916081219912,0.005447523668408394,0.03919237479567528,0.0054475232027471066
64,0.004660643637180328,0.03467443957924843,0.004660644102841616,0.005252230446785688,0.03658962622284889,0.005252230912446976
65,0.0047580767422914505,0.03512217849493027,0.004758079536259174,0.005100035574287176,0.03588742017745972,0.0051000360399484634
66,0.004991212394088507,0.03631831333041191,0.004991211462765932,0.004957322962582111,0.03430942818522453,0.004957322031259537
67,0.004594212863594294,0.03384491428732872,0.0045942142605781555,0.004674852825701237,0.0342656672000885,0.004674852360039949
68,0.004750826861709356,0.03438681736588478,0.004750825464725494,0.005045016761869192,0.03270525857806206,0.005045017693191767
69,0.004764264449477196,0.03475566580891609,0.004764263518154621,0.005511346273124218,0.039786431938409805,0.005511345807462931
70,0.004773213993757963,0.03461422026157379,0.004773214925080538,0.005017188377678394,0.03478337451815605,0.005017188843339682
71,0.004770881962031126,0.03427219018340111,0.004770881962031126,0.004835008643567562,0.035056885331869125,0.004835009109228849
72,0.004536857362836599,0.03404783084988594,0.004536859225481749,0.005474789999425411,0.03656342253088951,0.005474791396409273
73,0.0045678685419261456,0.033795714378356934,0.004567870404571295,0.00440908782184124,0.031820330768823624,0.004409088287502527
74,0.0049306610599160194,0.035498060286045074,0.004930660128593445,0.004874886944890022,0.037805188447237015,0.004874887876212597
75,0.004864621441811323,0.034037332981824875,0.004864620976150036,0.004483398515731096,0.03328400477766991,0.004483398515731096
76,0.004530882462859154,0.033798784017562866,0.004530882928520441,0.004818897694349289,0.03622955456376076,0.004818896763026714
77,0.0050844671204686165,0.035688407719135284,0.0050844671204686165,0.004474007058888674,0.03466678783297539,0.0044740065932273865
78,0.004620042629539967,0.033791813999414444,0.004620042629539967,0.00515189440920949,0.03280746564269066,0.00515189440920949
79,0.004617930855602026,0.03361166641116142,0.004617930855602026,0.004651956260204315,0.03501079976558685,0.0046519567258656025
80,0.004915168974548578,0.03475980833172798,0.004915168508887291,0.005046181846410036,0.03393145650625229,0.005046181846410036
81,0.0046028573997318745,0.03321298211812973,0.004602857865393162,0.004504270385950804,0.034230299293994904,0.004504270851612091
82,0.0048730936832726,0.03528398647904396,0.0048730936832726,0.004678055178374052,0.0364605151116848,0.004678056109696627
83,0.004425839986652136,0.03378937393426895,0.004425839986652136,0.004683358129113913,0.031522154808044434,0.004683357197791338
84,0.00450632581487298,0.0318639911711216,0.004506326746195555,0.004577012732625008,0.031048277392983437,0.004577013198286295
85,0.0048023127019405365,0.03347110003232956,0.004802313633263111,0.004751101601868868,0.036197222769260406,0.004751101601868868
86,0.004772629123181105,0.03404033184051514,0.004772629123181105,0.005021620076149702,0.03465447947382927,0.005021621007472277
87,0.004790970124304295,0.03494812175631523,0.004790968727320433,0.004959349054843187,0.03597905859351158,0.004959349986165762
88,0.004670117050409317,0.03375907987356186,0.00467011658474803,0.004495120141655207,0.03275967389345169,0.004495120607316494
