epoch,loss,res_kge,res_nnse,res_only,res_pearson_coeff,state_kge,state_nnse,state_only,state_pearson_coeff,val_loss,val_res_kge,val_res_nnse,val_res_only,val_res_pearson_coeff,val_state_kge,val_state_nnse,val_state_only,val_state_pearson_coeff
0,474211634118656.0,-inf,5.43989332746353e-13,413191490240512.0,-0.0038027185946702957,-inf,6.153604237496904e-14,1202314220142592.0,0.010801554657518864,769.3347778320312,-inf,4.288619806502858e-12,650.4700317382812,-0.005439006723463535,-391723548672.0,5.630339402172557e-13,7132.482421875,-0.007212436757981777
1,486.4787292480469,-inf,4.084096602574583e-11,404.0523681640625,-0.00038167551974765956,-40110120.0,2.9500230383505688e-12,4584.73046875,-0.003761859145015478,75.7485122680664,-inf,4.167419187517396e-10,63.736087799072266,0.0006302051478996873,-70444081152.0,3.460689027012798e-11,859.155517578125,-0.002738462295383215
2,16.640708923339844,-inf,8.84228157360667e-08,13.536105155944824,0.0030838274396955967,-2329044.0,2.457309689063436e-09,223.9482421875,-0.03407802805304527,3.981302499771118,-inf,2.6000560637839953e-07,3.2610716819763184,-0.0016034936998039484,-12174694400.0,8.680026475360592e-09,70.89152526855469,-0.06446125358343124
3,3.282304048538208,-inf,6.550612852151971e-07,2.6158487796783447,-0.0006133686983957887,-3834189056.0,1.3922367259056045e-08,59.284969329833984,-0.07347611337900162,2.705671548843384,-inf,5.814214318888844e-07,2.1985437870025635,-0.0033530713990330696,-10785070080.0,1.8155592584889746e-08,52.23619079589844,-0.08517710864543915
4,2.5523016452789307,-inf,7.987280241650296e-07,2.011498212814331,-0.000445115496404469,-152522.484375,2.0603303951816088e-08,49.03291702270508,-0.0907992273569107,2.11236834526062,-inf,9.374385854243883e-07,1.7098171710968018,-0.003178172744810581,-8771758080.0,2.7969653260129235e-08,44.03145217895508,-0.09316913783550262
5,2.0454978942871094,-inf,1.263722424482694e-06,1.5943247079849243,-0.00018103145703207701,-88725.8515625,2.9418702141015274e-08,41.631038665771484,-0.09509453177452087,1.7001211643218994,-inf,1.9153787889081286e-06,1.3755040168762207,-0.0032183039002120495,-6816828928.0,4.4155616052421465e-08,38.408626556396484,-0.10287415236234665
6,1.7375720739364624,-inf,2.1071866740385303e-06,1.3536701202392578,-0.002152541419491172,-174132.25,4.259978325649172e-08,37.780059814453125,-0.09360156953334808,1.4970977306365967,-inf,3.6324834127299255e-06,1.208725929260254,-0.0029641641303896904,-4886406656.0,5.8929852997380294e-08,35.6224250793457,-0.10371245443820953
7,1.6302882432937622,-inf,3.1619201763533056e-06,1.259527325630188,-0.0011665018973872066,-109364.984375,5.589375007275521e-08,36.1966667175293,-0.09632036089897156,1.3822382688522339,-inf,3.922088126273593e-06,1.1084781885147095,-0.0014993646182119846,-3005968128.0,7.006183011526446e-08,33.693729400634766,-0.09347999840974808
8,1.4402480125427246,-inf,4.181814347248292e-06,1.110264539718628,0.0019258352695032954,-49078.98828125,6.998480728270806e-08,33.46542739868164,-0.09446132183074951,1.2742910385131836,-inf,4.2239348658767994e-06,1.0268876552581787,-0.0012032842496410012,-1385572736.0,8.10083449209742e-08,32.344791412353516,-0.093480184674263
9,1.292508602142334,-inf,4.698724751506234e-06,1.0125192403793335,-0.0009133193525485694,-90779.140625,8.117312688682432e-08,31.451679229736328,-0.09457536041736603,1.2199509143829346,-inf,5.066292033006903e-06,0.980905294418335,-0.0010799365118145943,-1180183936.0,9.470484485518682e-08,31.517545700073242,-0.09037236124277115
10,1.2773689031600952,-inf,5.919683644606266e-06,0.9816609621047974,-1.5241697838064283e-05,-37450.03125,8.746453517005648e-08,31.093494415283203,-0.097086101770401,1.1635407209396362,-inf,6.664335614914307e-06,0.9352153539657593,-0.0011687972582876682,-1111624704.0,1.0677129580471956e-07,30.71272087097168,-0.09768601506948471
11,1.272058367729187,-inf,5.310270807967754e-06,0.9900774955749512,1.4630643818236422e-05,-218138.546875,8.004927565252729e-08,31.36395263671875,-0.09528334438800812,1.1322996616363525,-inf,7.058744813548401e-06,0.9099704623222351,-0.0026280470192432404,-1077432448.0,1.0361487312593454e-07,30.28561019897461,-0.09757280349731445
12,1.2191582918167114,-inf,6.747675342921866e-06,0.9469045996665955,0.0010834536515176296,-82532.265625,9.436264747364476e-08,30.555978775024414,-0.09572319686412811,1.1117256879806519,-inf,6.6039829107467085e-06,0.8964113593101501,-0.0017762022325769067,-1057764352.0,1.0781104720081203e-07,30.2217960357666,-0.09609419107437134
13,1.1975692510604858,-inf,7.2348325375060085e-06,0.9353573322296143,-0.0008743832586333156,-471841.15625,1.0298733599256593e-07,30.429637908935547,-0.08995289355516434,1.0988942384719849,-inf,7.831044058548287e-06,0.8819136023521423,-0.0013114495668560266,-1044283712.0,1.2102310620321077e-07,29.76120376586914,-0.09544911235570908
14,1.1838122606277466,-inf,7.106913017196348e-06,0.9247782230377197,-0.00028872405528090894,-54487.640625,1.0250730753114112e-07,30.17382049560547,-0.09190693497657776,1.0857067108154297,-inf,6.812646915932419e-06,0.8745183348655701,-0.0015682446537539363,-1034736448.0,1.125843525073833e-07,29.80121612548828,-0.09536965191364288
15,1.1737477779388428,-inf,6.355771347443806e-06,0.9247756600379944,-0.0015421987045556307,-1343371776.0,9.344371676434093e-08,30.274873733520508,-0.0913386419415474,1.0616620779037476,-inf,8.367181180801708e-06,0.8559271097183228,-0.0011287572560831904,-1025331520.0,1.2603109666997625e-07,29.427410125732422,-0.10028580576181412
16,1.1253836154937744,-inf,8.351611541002057e-06,0.8785380721092224,0.00015000594430603087,-97346.765625,1.1605873595499361e-07,29.415109634399414,-0.0893939882516861,1.0289591550827026,-inf,8.668131158628967e-06,0.8268341422080994,-0.0017806722316890955,-997473472.0,1.2876722621513181e-07,28.902000427246094,-0.0982537642121315
17,1.0318831205368042,-inf,1.1923307283723261e-05,0.8116680979728699,-0.001797662815079093,-45224.73046875,1.367513533523379e-07,28.22719955444336,-0.09106629341840744,0.9011090397834778,-inf,1.2898906788905151e-05,0.7303772568702698,-0.002897932892665267,-999075072.0,1.731371952473637e-07,27.281681060791016,-0.08144067227840424
18,0.8685621023178101,-inf,1.6705824236851186e-05,0.6834150552749634,-0.0016821874305605888,-106254552.0,1.8503699550365127e-07,25.893390655517578,-0.0841783955693245,0.7499802112579346,-inf,2.2138245185487904e-05,0.6150449514389038,-0.0034343618899583817,-1049465472.0,2.427684080430481e-07,25.25555992126465,-0.07845192402601242
19,0.6555744409561157,-inf,3.6163877666695043e-05,0.5280803442001343,-0.0012834863737225533,-21629.564453125,3.711436420417158e-07,22.246252059936523,-0.07134108990430832,0.3889325261116028,-inf,7.121788075892255e-05,0.314761221408844,-0.0005501042469404638,-401837728.0,1.326628193965007e-06,11.835226058959961,0.00473535293713212
20,0.3488234579563141,-inf,0.00011449372686911374,0.27406662702560425,0.0045331004075706005,-16159.12109375,1.666683715484396e-06,10.916229248046875,0.027244042605161667,0.31223931908607483,-inf,0.00011862789688166231,0.24750006198883057,0.008931676857173443,-86950408.0,1.7755952512743534e-06,10.484784126281738,0.04171740636229515
21,0.30353814363479614,-inf,0.00013986632984597236,0.23639224469661713,0.006448644213378429,-23567.677734375,1.6672373703841004e-06,10.826128959655762,0.012780165299773216,0.2828896641731262,-inf,0.00012498967407736927,0.22375833988189697,0.005450909491628408,-181867152.0,1.8577720766188577e-06,10.295352935791016,0.02502102218568325
22,0.2957203984260559,-inf,0.0001470006100134924,0.22865082323551178,0.007308445870876312,-18426.00390625,1.6629235233267536e-06,10.831542015075684,0.007377741392701864,0.2785402834415436,-inf,0.00012694369070231915,0.22026927769184113,0.005675043445080519,-210991648.0,1.9056076325796312e-06,10.149364471435547,0.02654862403869629
23,0.2884661853313446,-inf,0.00015456030087079853,0.22249262034893036,0.0072849588468670845,-19918.404296875,1.7232036952918861e-06,10.706539154052734,0.013437657617032528,0.27261218428611755,-inf,0.00013099421630613506,0.21530719101428986,0.005788994021713734,-241709280.0,1.9369949768588413e-06,10.083124160766602,0.022423017770051956
