epoch,loss,res_only,res_pearson_coeff,state_only,state_pearson_coeff,val_loss,val_res_only,val_res_pearson_coeff,val_state_only,val_state_pearson_coeff
0,0.0783727616071701,0.07761509716510773,-0.009451954625546932,6.687033176422119,134.92820739746094,0.02739151567220688,0.02715553529560566,0.24881502985954285,4.228542804718018,55.166786193847656
1,0.008527503348886967,0.008343151770532131,0.02094016596674919,1.1846369504928589,493.5182189941406,0.004492900334298611,0.004369196016341448,-0.26729637384414673,0.48242300748825073,603.3431396484375
2,0.00260753883048892,0.002455639187246561,0.06976383924484253,0.29580774903297424,2587.19970703125,0.0014115790836513042,0.0012896624393761158,0.6305348873138428,0.1844358593225479,2137.932861328125
3,0.0016555472975596786,0.0015012221410870552,0.2173679620027542,0.16655871272087097,4613.5888671875,0.0015386436134576797,0.0014181087026372552,0.0816294327378273,0.1753292679786682,2593.914794921875
4,0.0012817585375159979,0.001131536322645843,0.338682621717453,0.11751841753721237,5719.890625,0.0014622821472585201,0.0013418063754215837,0.0517042838037014,0.1597798764705658,1892.7889404296875
5,0.001123197260312736,0.0009760053944773972,0.4083712100982666,0.09366022795438766,8765.6103515625,0.001071664970368147,0.0009490438387729228,0.2410576045513153,0.11151164770126343,6445.330078125
6,0.0010962366359308362,0.0009464711183682084,0.5326862335205078,0.08970373868942261,13686.4755859375,0.0009497805149294436,0.0008318006875924766,0.3443867266178131,0.08081185817718506,8483.220703125
7,0.0010755329858511686,0.0009244346874766052,0.6335123777389526,0.08509380370378494,13318.8994140625,0.0009234666358679533,0.0008055075304582715,0.4311963617801666,0.08116281032562256,15586.48828125
8,0.0010766442865133286,0.0009252321324311197,nan,0.0850822776556015,77291.578125,0.0009007260086946189,0.0007837217999622226,0.5762598514556885,0.07429922372102737,17509.10546875
9,0.001074339495971799,0.0009206668473780155,0.6677697896957397,0.08384699374437332,12027.2802734375,0.0009147960809059441,0.0007953258464112878,0.6263348460197449,0.07498038560152054,20685.75390625
10,0.0010723341256380081,0.00091989227803424,0.6939584612846375,0.08386486768722534,14903.08203125,0.0008975760429166257,0.0007802044856362045,0.6842291951179504,0.07537510246038437,11985.5185546875
11,0.0010478306794539094,0.00090405362425372,0.6588782072067261,0.08092325180768967,11148.986328125,0.000897433958016336,0.0007792367250658572,0.7272889614105225,0.07444297522306442,14108.5361328125
12,0.0010699911508709192,0.0009151053964160383,nan,0.08315060287714005,inf,0.0009204121306538582,0.000799015921074897,1.2351170778274536,0.07432930916547775,16931.005859375
13,0.0010650756303220987,0.0009181182831525803,0.5864710211753845,0.08476851880550385,15110.908203125,0.0009772027842700481,0.0008565668249502778,0.5262152552604675,0.08742567896842957,22023.90234375
14,0.0018302291864529252,0.001684417831711471,0.1504644751548767,0.18958105146884918,3026.357421875,0.0016980958171188831,0.0015825506998226047,0.1933160275220871,0.2218852937221527,1904.41650390625
15,0.004882147070020437,0.004723693244159222,0.047692835330963135,0.6381584405899048,877.6121826171875,0.0016466767992824316,0.0015274675097316504,-0.33479368686676025,0.17496944963932037,2867.572509765625
16,0.0015498279826715589,0.0014009821461513638,0.10578662902116776,0.15265560150146484,3854.623046875,0.001671123900450766,0.0015470602083951235,0.25422215461730957,0.2217034101486206,1479.056396484375
17,0.00118551729246974,0.0010400463361293077,0.3230719566345215,0.10576062649488449,6992.00390625,0.001064681331627071,0.0009483277681283653,0.021305302157998085,0.08856909722089767,8207.9580078125
18,0.0011104551376774907,0.0009620841010473669,nan,0.09340664744377136,inf,0.0009375291410833597,0.0008188110659830272,0.39520031213760376,0.08091358840465546,9162.7431640625
19,0.001080724992789328,0.0009317566873505712,0.5196154713630676,0.08822081238031387,15202.9873046875,0.0009270176524296403,0.0008064089342951775,0.4902203679084778,0.08438877016305923,34151.99609375
20,0.0010459908517077565,0.0009045086917467415,0.5764930248260498,0.08403672277927399,22471.796875,0.0008985202293843031,0.0007817099685780704,0.15543842315673828,0.07073280215263367,99378.9765625
21,0.001045837765559554,0.0009017720585688949,0.6297103762626648,0.08238805830478668,21033.306640625,0.0009030371438711882,0.000784468196798116,0.6914016008377075,0.07689370959997177,14603.1220703125
22,0.0010663144057616591,0.0009149273973889649,0.6738185882568359,0.08407821506261826,20333.955078125,0.0009182875510305166,0.0007958646747283638,0.3948514759540558,0.07403884083032608,51673.1328125
23,0.001062618219293654,0.0009126437362283468,0.7207795977592468,0.0829518660902977,17683.6171875,0.0009201305219903588,0.0007978914072737098,0.8485439419746399,0.07988875359296799,13044.1650390625
24,0.0010455644223839045,0.0008993317023850977,0.8054163455963135,0.08219140022993088,16901.505859375,0.0008873738115653396,0.0007712981896474957,0.8264868259429932,0.07319451123476028,19572.7109375
25,0.001068775774911046,0.000916137476451695,0.761066734790802,0.08388277143239975,16694.3984375,0.0008774225134402514,0.000762588286306709,0.9758357405662537,0.07323810458183289,15626.2177734375
26,0.0010606026044115424,0.0009115450084209442,0.8165159225463867,0.08356684446334839,15007.5029296875,0.0008902924018912017,0.0007729401695542037,0.817459225654602,0.07282783836126328,24685.16015625
27,0.0010546583216637373,0.0009074973640963435,0.7863559722900391,0.083251953125,14221.4169921875,0.0008977323304861784,0.0007792207761667669,0.9414646625518799,0.07533907145261765,15553.0078125
28,0.0010581440292298794,0.0009061481687240303,0.7488141655921936,0.08361244946718216,16082.603515625,0.0009090313105843961,0.0007886876119300723,0.9293987154960632,0.0757436603307724,17186.646484375
29,0.0010477087926119566,0.0009011224028654397,0.7303262948989868,0.08257072418928146,17565.40234375,0.0009291016613133252,0.0008055008365772665,0.6775553226470947,0.08043751120567322,15143.1328125
30,0.0010995138436555862,0.000952000031247735,0.37957581877708435,0.0908597856760025,15638.423828125,0.0009288790170103312,0.0008132326183840632,0.1656026989221573,0.07681403309106827,33172.12109375
31,0.0019562419038265944,0.0018086152849718928,0.9517913460731506,0.23146788775920868,4718.87890625,0.0018549670930951834,0.001725575770251453,4.708868503570557,0.28186407685279846,1305.1351318359375
32,0.0015485553303733468,0.0013980631483718753,2.757822275161743,0.17255695164203644,8653.4248046875,0.0016435874858871102,0.0015235238242894411,13.886713981628418,0.24556994438171387,1456.9892578125
33,0.0011304471408948302,0.0009806144516915083,1.6668113470077515,0.0975310355424881,11879.392578125,0.0009053657995536923,0.0007846742519177496,0.9194495677947998,0.07484709471464157,17549.193359375
34,0.0010622801491990685,0.0009166719974018633,1.23886239528656,0.08522296696901321,32757.79296875,0.0009166901581920683,0.000801578804384917,1.8932077884674072,0.08780274540185928,7220.88330078125
35,0.0010439989855512977,0.0008987838518805802,0.9289448857307434,0.08256448805332184,30813.248046875,0.0009114957065321505,0.000791222439147532,0.5807145833969116,0.07157209515571594,233265.953125
36,0.0010676822857931256,0.000914019881747663,0.9855538010597229,0.08539438992738724,34244.32421875,0.0008981670252978802,0.0007801198516972363,1.2871325016021729,0.07663895189762115,13998.02734375
37,0.0010620378889143467,0.0009128993842750788,0.9741584658622742,0.084250807762146,28080.650390625,0.0008965892484411597,0.000777705863583833,0.7987422943115234,0.07303541153669357,35719.4453125
38,0.0010546190897002816,0.0009041996672749519,nan,0.08322066813707352,inf,0.0008789096609689295,0.0007634302019141614,0.7975594997406006,0.07005197554826736,66237.8828125
39,0.0010540770599618554,0.0009055554401129484,0.9693772196769714,0.08473003655672073,24279.716796875,0.0008846896234899759,0.0007683482836000621,0.9013373255729675,0.0725611224770546,32068.33984375
40,0.0010467953979969025,0.0008998310659080744,0.9149835705757141,0.0819854661822319,35230.3359375,0.0008918493404053152,0.0007738142157904804,1.1241759061813354,0.07598060369491577,17460.9140625
41,0.001044499920681119,0.0008948819013312459,0.8914753198623657,0.08270881325006485,34245.26953125,0.0009066773345693946,0.0007862088386900723,0.9895970225334167,0.07556973397731781,22732.25390625
42,0.0010688023176044226,0.0009182117646560073,0.9642146825790405,0.08431166410446167,20058.298828125,0.0009244850953109562,0.0008010197780095041,0.8402422070503235,0.07671335339546204,33941.37109375
43,0.0010569142177700996,0.0009070287924259901,nan,0.08315667510032654,1606722.75,0.0008681256440468132,0.0007544124382548034,0.9738369584083557,0.07139723747968674,28964.4296875
44,0.0010523191886022687,0.0009045132901519537,0.8771737813949585,0.08291876316070557,38113.1640625,0.0009021048899739981,0.0007821196923032403,0.9122576713562012,0.07402312755584717,34925.0546875
45,0.0010558927897363901,0.0009047868079505861,nan,0.08269748836755753,inf,0.0009285130654461682,0.0008043434354476631,0.7740824818611145,0.07457170635461807,180793.515625
46,0.0010574779007583857,0.0009093028493225574,1.0439950227737427,0.08530459553003311,22531.5546875,0.0008927457383833826,0.0007748536881990731,0.7508903741836548,0.07135147601366043,187566.171875
47,0.001829494838602841,0.0016625012503936887,1.3265764713287354,0.21507547795772552,5752.52880859375,0.0010471862042322755,0.0009271657327190042,-0.247651606798172,0.08408119529485703,10031.04296875
48,0.001601140364073217,0.001447748625651002,nan,0.1794508993625641,18312.767578125,0.0010072591248899698,0.000885391840711236,2.617928981781006,0.10681375861167908,4319.7822265625
49,0.0010734038660302758,0.0009257690981030464,1.2147287130355835,0.09125509113073349,20558.04296875,0.0009349497267976403,0.0008173231035470963,-0.37306854128837585,0.07020699977874756,61559.58203125
50,0.001004896592348814,0.0008564614690840244,0.5955503582954407,0.08763990551233292,22518.451171875,0.0008729854598641396,0.0007515179459005594,0.4325929582118988,0.07461263984441757,166501.3125
51,0.0009826567256823182,0.0008350677671842277,0.5623446106910706,0.08700421452522278,37426.91796875,0.0008504054858349264,0.0007318767602555454,0.7417905926704407,0.07603667676448822,45883.95703125
52,0.0009587327367626131,0.0008148359484039247,0.5370368957519531,0.0847206711769104,28696.126953125,0.0008426065323874354,0.0007259277626872063,0.268734335899353,0.07283854484558105,35826.375
53,0.0009560113539919257,0.0008101882413029671,0.415956050157547,0.08489581197500229,45543.12109375,0.0008181977900676429,0.0007032068097032607,0.37428030371665955,0.07386097311973572,150432.375
54,0.0009475868428125978,0.0008042434928938746,0.35881152749061584,0.08513495326042175,35778.94140625,0.000833378464449197,0.0007153759943321347,0.42309409379959106,0.07418590784072876,70842.3125
55,0.0009324688580818474,0.0007912811124697328,0.3162539601325989,0.08371350914239883,57732.98828125,0.0008194651454687119,0.0007037080358713865,0.2902802526950836,0.07569138705730438,85929.2734375
56,0.0009385202429257333,0.0007958492496982217,0.30902132391929626,0.0853530690073967,63539.62109375,0.000821109744720161,0.0007043802761472762,0.35910823941230774,0.0747661218047142,120988.234375
57,0.0009451787336729467,0.0007983373361639678,0.29705262184143066,0.0847109854221344,51260.0859375,0.0008140920544974506,0.0006985848885960877,0.2554820775985718,0.0732731968164444,110744.7734375
58,0.0009207594557665288,0.0007816869765520096,0.2802373170852661,0.08411518484354019,42448.1796875,0.0008175313705578446,0.0007014154107309878,0.3089856803417206,0.0760766938328743,204264.3125
59,0.0009459607535973191,0.0008010795572772622,0.26455602049827576,0.08567757159471512,48900.671875,0.0007971837185323238,0.0006850067875348032,0.3106825053691864,0.07328321039676666,148048.59375
60,0.0009335099020972848,0.0007890559500083327,0.2532487213611603,0.08389948308467865,63963.87890625,0.0008305530063807964,0.0007117448258213699,0.28859513998031616,0.07711511105298996,141342.375
61,0.000936064578127116,0.00079349335283041,0.263815313577652,0.08431316167116165,70513.484375,0.0008462289115414023,0.0007245226297527552,0.3943818211555481,0.08246871083974838,17304.048828125
62,0.0009501132881268859,0.0008022807305678725,0.20087064802646637,0.08843130618333817,28780.248046875,0.0007755745318718255,0.0006694935727864504,0.09701967239379883,0.06363286823034286,23070.150390625
63,0.0022374673280864954,0.0021205723751336336,0.7315080165863037,0.29574301838874817,1878.4560546875,0.0014319918118417263,0.0013383073965087533,12.607871055603027,0.21190160512924194,1629.25048828125
64,0.0012793916976079345,0.0012006328906863928,nan,0.1518206000328064,inf,0.0009607626707293093,0.0008889333694241941,-2.068589448928833,0.09191914647817612,4821.109375
65,0.0007381525938399136,0.0006805137963965535,nan,0.07195384800434113,inf,0.000653871102258563,0.0006148102693259716,-0.3273889422416687,0.07066471874713898,8554.21875
66,0.0005934691289439797,0.0005433689802885056,0.21452422440052032,0.054727230221033096,15333.943359375,0.00044034208985976875,0.00040677838842384517,0.21087169647216797,0.03883029893040657,29450.580078125
67,0.00055665522813797,0.0005096220411360264,0.19447752833366394,0.050436247140169144,19358.244140625,0.0004495136090554297,0.00041421668720431626,0.061507515609264374,0.037890009582042694,36930.25
68,0.0005357918562367558,0.0004905918030999601,0.18619810044765472,0.048324257135391235,23926.896484375,0.00040530881960876286,0.0003746708098333329,0.18199044466018677,0.03609463572502136,87102.9375
69,0.0005187750211916864,0.0004743513709399849,nan,0.046883318573236465,173434.859375,0.0004234065127093345,0.00039368277066387236,0.0561077743768692,0.037050407379865646,31745.931640625
70,0.0005224281339906156,0.0004771732783410698,0.18462249636650085,0.04777240753173828,36564.75,0.0003947690420318395,0.0003663253737613559,0.11929240077733994,0.03555634245276451,65704.03125
71,0.0005137350526638329,0.00046958849998191,0.18832364678382874,0.04618171975016594,17315.53515625,0.0004038065089844167,0.00037635015905834734,0.290823757648468,0.04135506600141525,12835.1689453125
72,0.0005106381140649319,0.00046782754361629486,0.1863224357366562,0.04667093604803085,28574.28515625,0.0003875084803439677,0.00035889202263206244,0.18128277361392975,0.03633793070912361,62369.92578125
73,0.0005051081534475088,0.0004617531376425177,0.18373021483421326,0.04600087180733681,37350.7265625,0.0003955147694796324,0.0003669659490697086,0.20867003500461578,0.03839472308754921,23468.96484375
74,0.0005157288978807628,0.0004703080630861223,0.17971500754356384,0.04643971845507622,34721.1328125,0.00038378231693059206,0.00035601170384325087,0.19140425324440002,0.03610038012266159,38364.3984375
75,0.0005055029760114849,0.0004631284682545811,0.18667259812355042,0.045931652188301086,28821.20703125,0.00038391456473618746,0.00035639171255752444,0.20056098699569702,0.03640720620751381,32809.921875
76,0.0005075615481473505,0.00046331677003763616,0.1847267746925354,0.04601031541824341,23052.962890625,0.00038866084651090205,0.0003598466282710433,0.16619618237018585,0.035726241767406464,126188.5859375
77,0.000516705506015569,0.0004720001306850463,0.17441017925739288,0.04637330770492554,25229.169921875,0.00038292710087262094,0.0003554054710548371,0.16828200221061707,0.03565852716565132,98853.2890625
78,0.0005241041071712971,0.0004809537495020777,0.1949189305305481,0.04934164881706238,31112.5390625,0.0004116899217478931,0.0003793745127040893,0.1375793218612671,0.03600377216935158,101242.546875
79,0.0011084614088758826,0.0010548571590334177,nan,0.1411203294992447,inf,0.00045379504445008934,0.0004217851092107594,0.24695806205272675,0.038973309099674225,28273.423828125
80,0.0007885964587330818,0.0007408664096146822,0.269296258687973,0.09236983209848404,8180.32373046875,0.000599055492784828,0.0005670331884175539,-0.4327051341533661,0.06424064189195633,8014.71240234375
81,0.0005905040889047086,0.000548587879166007,0.21484558284282684,0.06233455240726471,11599.2568359375,0.00036858298699371517,0.00034183007664978504,0.16700978577136993,0.0337747186422348,180618.828125
82,0.0005120850983075798,0.00047346166684292257,0.20064932107925415,0.0502190887928009,25327.375,0.0003850262437481433,0.00035688953357748687,0.17417210340499878,0.03486942872405052,153333.609375
83,0.000491892104037106,0.00045547992340289056,0.19142378866672516,0.04799443483352661,15148.2333984375,0.00037233138573355973,0.00035303880576975644,-0.011073444038629532,0.036985933780670166,34938.62109375
84,0.00046385283349081874,0.00043056783033534884,0.1951301395893097,0.04451281949877739,36152.33203125,0.0003921880852431059,0.00037340103881433606,-0.02269204705953598,0.0386897511780262,23866.892578125
85,0.0004643424763344228,0.0004312337841838598,0.21012891829013824,0.044816870242357254,20929.359375,0.0003968163509853184,0.0003771055780816823,0.4488825500011444,0.04721124842762947,7542.0693359375
86,0.00045443468843586743,0.0004207636520732194,0.18587225675582886,0.043388523161411285,27875.072265625,0.0003343172720633447,0.0003158683830406517,0.20681960880756378,0.03329063951969147,35839.8359375
87,0.0004434446163941175,0.00041103974217548966,0.1896575689315796,0.041967350989580154,22236.044921875,0.00034493545535951853,0.0003248739230912179,0.2098388969898224,0.03412772715091705,31192.86328125
88,0.0004531410231720656,0.00041958148358389735,0.19030717015266418,0.04309040680527687,17660.23046875,0.0003274772607255727,0.0003095206047873944,0.16460661590099335,0.031863611191511154,105172.828125
89,0.00044759828597307205,0.00041438761400058866,0.1884590983390808,0.042327236384153366,23879.08984375,0.0003358355024829507,0.00031709708855487406,0.2203831970691681,0.033721134066581726,28291.55859375
90,0.00044233695371076465,0.00041040542419068515,0.19252435863018036,0.04201735183596611,37929.8046875,0.0003325047728139907,0.00031416735146194696,0.231416717171669,0.03369387611746788,25497.46484375
91,0.0004575287748593837,0.00042342516826465726,nan,0.04387633875012398,inf,0.0003403829177841544,0.0003215979668311775,0.20673681795597076,0.03423425555229187,33439.46875
92,0.0004505834076553583,0.0004181388358119875,0.18631860613822937,0.04299023747444153,23618.7109375,0.0003289015730842948,0.0003107131051365286,0.21292124688625336,0.03291688486933708,37564.87890625
93,0.0004508929850999266,0.00041885350947268307,0.18830521404743195,0.043182123452425,44791.5390625,0.00033117886050604284,0.00031229868181981146,0.21363769471645355,0.03324747830629349,36019.3984375
94,0.00046744890278205276,0.00043455229024402797,0.19826942682266235,0.0463261753320694,22961.85546875,0.00036058304249309003,0.00033846794394776225,0.08292820304632187,0.03356817737221718,42103.75390625
