epoch,loss,res_kge,res_nnse,res_only,res_pearson_coeff,state_kge,state_nnse,state_only,state_pearson_coeff,val_loss,val_res_kge,val_res_nnse,val_res_only,val_res_pearson_coeff,val_state_kge,val_state_nnse,val_state_only,val_state_pearson_coeff
0,18300626.0,-inf,5.4437099606730044e-05,13619950.0,0.03433605283498764,-276964442112.0,3.364121141657961e-07,65543232.0,0.008324645459651947,0.4029938280582428,-inf,0.00010196204675594345,0.32629919052124023,0.031069500371813774,-91376.3828125,1.056773044183501e-06,12.510993003845215,0.0053627523593604565
1,0.2921309471130371,-inf,0.0002562915615271777,0.22507864236831665,0.027499819174408913,-24035.3203125,2.9949280815344537e-06,8.21074390411377,0.005729833617806435,0.22844091057777405,-inf,0.00028611146262846887,0.17845593392848969,0.0049568964168429375,-38803.109375,5.0318276407779194e-06,6.060816764831543,0.008877581916749477
2,0.2139328122138977,-inf,0.0004331274249125272,0.160572811961174,-0.0016401115572080016,-21566.828125,5.646703357342631e-06,5.876722812652588,-0.007792152464389801,0.18550120294094086,-inf,0.00041707916534505785,0.1425062119960785,-0.011851347982883453,-39920.921875,7.279797955561662e-06,5.209282398223877,0.007105875760316849
3,0.18067103624343872,-inf,0.0005832125898450613,0.13352391123771667,-0.006014141719788313,-22704.232421875,6.789354301872663e-06,5.295457363128662,-0.009826118126511574,0.16338235139846802,-inf,0.000535406987182796,0.12407632917165756,-0.018445974215865135,-39879.8125,7.554582225566264e-06,5.194950580596924,-0.0018855801317840815
4,0.16332398355007172,-inf,0.0006986461812630296,0.11965242028236389,-0.017026133835315704,-24860.345703125,7.95326559455134e-06,4.902827262878418,-0.012181210331618786,0.1442745476961136,-inf,0.0007237353711389005,0.10886235535144806,-0.01961629092693329,-30320.904296875,9.857283657765947e-06,4.396121978759766,0.01647304557263851
5,0.14632898569107056,-inf,0.0009516414720565081,0.10530363768339157,-0.015513831749558449,-10366.9345703125,1.055474604072515e-05,4.226449966430664,-0.008933053351938725,0.13506007194519043,-inf,0.000875363068189472,0.09992526471614838,-0.022335125133395195,-26701.2265625,1.1988033293164335e-05,4.053015232086182,-0.01293690875172615
6,0.1373036950826645,-inf,0.0010785640915855765,0.09829215705394745,-0.013581241481006145,-8116.564453125,1.2153634997957852e-05,3.9434256553649902,-0.009824354201555252,0.1289881020784378,-inf,0.0009481353336013854,0.09552137553691864,-0.020877517759799957,-25296.32421875,1.215193606185494e-05,3.964322090148926,-0.011496962048113346
7,0.13313813507556915,-inf,0.001168636023066938,0.09469553828239441,-0.010208207182586193,-12329.0517578125,1.310820061917184e-05,3.7608439922332764,-0.018162764608860016,0.1255049854516983,-inf,0.0010500658536329865,0.09269861876964569,-0.015242479741573334,-21613.212890625,1.460008388676215e-05,3.635145902633667,-0.0042541492730379105
8,0.13081537187099457,-inf,0.0012722841929644346,0.09238484501838684,-0.008328928612172604,-12152.0458984375,1.4067296433495358e-05,3.677767515182495,-0.018369002267718315,0.12304475903511047,-inf,0.001096697524189949,0.0904969573020935,-0.015829235315322876,-22434.279296875,1.4690107491333038e-05,3.604370355606079,-0.006370246410369873
9,0.12763617932796478,-inf,0.0013502276269719005,0.08993380516767502,-0.007036468479782343,-11528.0185546875,1.4991760508564766e-05,3.542041301727295,-0.006912967190146446,0.1207258328795433,-inf,0.0011373971356078982,0.08863762021064758,-0.014987140893936157,-22530.048828125,1.5018769772723317e-05,3.5539677143096924,-0.002772075356915593
